Módulo,Función,Propósito,Algoritmo,Costo real,Big O
Estudiante (lógica de negocio),eliminarEstudianteLogico(carne),Marca a un estudiante como inactivo sin borrar físicamente su registro.,Búsqueda en el mapa más marcar estado = 0 en mapa y archivo,log n + 2,O(log n)
Estudiante (lógica de negocio),mostrarTodosLosEstudiantes(),Recorre y despliega el listado completo de estudiantes activos.,Recorrido secuencial completo,n,O(n)
Estudiante (lógica de negocio),mostrarEstudiantesPorCarrera(carrera),Filtra y despliega los estudiantes de una carrera específica.,Recorrido secuencial con filtro,n comparaciones,O(n)
Estudiante (lógica de negocio),actualizarPromedio(carne promedio),Recalcula y guarda el promedio general de un estudiante.,Búsqueda en el mapa más escritura en academico.dat,log n + 1,O(log n)
Estudiante (lógica de negocio),actualizarCreditosAprobados(carne creditos),Recalcula y guarda la cantidad de créditos aprobados de un estudiante.,Búsqueda en el mapa más escritura en academico.dat,log n + 1,O(log n)
Estudiante (lógica de negocio),consultarExpedienteCompleto(carne),Reúne los tres registros (identidad académico contacto) de un mismo estudiante.,Búsqueda en el mapa más 3 lecturas (identidad académico contacto),log n + 3,O(log n)
Reportes (agregados y mantenimiento),calcularPromedioInstitucional(),Calcula el promedio general de toda la población estudiantil activa.,Recorrido secuencial con contador,n sumas más 1 división,O(n)
Reportes (agregados y mantenimiento),encontrarMayorPromedio(),Ubica al estudiante con el promedio más alto.,Recorrido secuencial con máximo,n comparaciones,O(n)
Reportes (agregados y mantenimiento),encontrarMayorCreditos(),Ubica al estudiante con más créditos aprobados.,Recorrido secuencial con máximo,n comparaciones,O(n)
Reportes (agregados y mantenimiento),generarReporteEstadistico(),Produce un resumen agregado (totales por carrera nivel etc.).,Recorrido secuencial con múltiples contadores (por carrera por nivel etc),"n × c, c = cantidad de categorías",O(n)
